SMILES,ID,clogP
CCC(=O)NC1=NC2=CC=CC=C2N1CCN1CCOCC1,5248791,1.95
COC1=CC=C(/C=C/C(=O)C2(OC(C)=O)CCCCC2)C=C1,5325516,3.87
CC(=O)OC1=CC=CC(NC(O)CC2=NC3=C(C=CC=C3)NC2=O)=C1,5366533,1.03
COC1=CC(OC)=C(CNC2CCC(C)CC2)C=C1,5411442,4.06
O=C(NC1=C(Br)C=C([N+](=O)[O-])C=C1)C1=C(Cl)C2=CC=CC=C2S1,5535678,3.99
CCC1=CC=CC(C)=C1NC(=O)C1=CC(C(=O)OC)=CC([N+](=O)[O-])=C1,5737554,2.69
CCOC(=O)C(C(=O)OCC)C(C[N+](=O)[O-])C1=CC=C(OC)C=C1,5816330,1.81
CCN(CC)S(=O)(=O)C1=CC(C(=O)NC2=NC=CS2)=CC=C1,5915074,2.2
CC1=C(C(=O)NC2=C(C(=O)O)C=CC=C2)C=CO1,5929040,2.59
COC(=O)C1=C(OC)C=C(NC(=O)C(C)C)C(Cl)=C1,5941109,2.16
CC(C)(C)C1=CC=C(C2=NNC(=S)O2)C=C1,6065305,3.44
S=C1NN=C(C2=CN=CC=C2)N1C1CCCCC1,6108626,3.86
CCC1=C(NC(=O)CC2=CC=CS2)C=CC=C1,6212210,2.5
CC1=CC(NC(=O)C2=CC3=CC=CC=C3O2)=CC(C)=C1Br,6369862,5.319999999999999
CC(=O)N1CCN(C2=C([N+](=O)[O-])C=CC=C2Cl)CC1,6632633,0.54
CCC(C)C1=C(OCC(=O)NC2=NOC(C)=C2)C=CC=C1,6821948,3.28
COC1=C(NC(=O)C(=O)NCCC2=CC=C(Cl)C=C2)C=CC=C1,6915840,3.25
CC1=CC=C(N2C(O)=CC(N3CCN(C(C4=CC=CC=C4)C4=CC=CC=C4)CC3)=C2O)C=C1,6942144,5.28
CC(C)NC(=O)C1=C(NC(=O)/C=C/C2=CC3=C(C=C2)OCO3)C=CC=C1,7142697,3.38
COC1=C([N+](=O)[O-])C=C(C(=O)NC2=CC=C(S(=O)(=O)N3CCC(C)CC3)C=C2)C=C1,7220208,3.71
COC1=CC=C(C2=NOC(C3=C(C)ON=C3C3=C(Cl)C=CC=C3)=N2)C=C1,7387326,3.792
O=C(CN1CCN(C(=O)N2CCOCC2)CC1)NC1=CC=C(Br)C=C1,7741266,3.265
COC(=O)C1C(C)=NC2=NC=NN2C1C1=CC(Br)=C(OC)C=C1,7761194,4.295
CC1=NN=C2SC(C3=CC=C(NC(=O)C4=CC=CO4)C=C3)=NN12,7778914,1.948
COC(=O)COC1=CC=CC(NS(=O)(=O)C2=CC=C(NC(C)=O)C=C2)=C1,7899662,1.577
CC1=CC=C(C(=O)NCCSC(C)(C)C)C=C1S(=O)(=O)NC1=CC=CC=C1,7957833,4.457
CN1N=NN=C1SCCNC/C=C/C1=CC=CC=C1,7973620,2.223
CC1=CC(OCC(=O)NC2=C(C(=O)N(C)C)C=CC=C2)=CC(C)=C1,9015540,2.61
CCC(C(=O)NC1=C(OC)C=CC=C1)N1C(N)=NN=C1SC,9115651,0.74
CCCC1=C(C(=O)NC2=CC(F)=CC=C2)N=NN1C1=CC=CC=C1,9116943,3.89
CCC1=C(NC(C)=O)C=C(C2=NN(CC(=O)N3CCC4=CC=CC=C43)C(=O)C=C2)C=C1,9138803,0.8160000000000002
CCCC1=NN=C(NC(=O)C2CCN(C(C)=O)CC2)S1,9189853,-0.255
CC(C)COCC1CC(CC2=C(O)N=C(N)S2)C(=O)O1,9198667,0.484
COC1=CC=CC(C(=O)NC2=CC=C(NC3=NN=C(C)C=C3)C=C2)=C1OC,9250705,1.28
CCOC(=O)C1=C(N)N(C2=C3C=NN(C4=CC=C(F)C=C4)C3=NC=N2)N=C1,9264049,3.586
CN1CCN(C(=O)C2=CC=CC(S(=O)(=O)N3CCN(C)CC3)=C2)CC1,9268053,1.051
CC(=O)N1CCN(C2=CC=CC=C2NC(=O)C2=CC=C(OCC(C)C)C=C2)CC1,9271551,2.293
CN1CCN(S(=O)(=O)C2=CC(C(=O)N3CCN(C4=CC=CC=C4)CC3)=CC=C2)CC1,9271897,1.783
CC1=NN(C(C)CNC(=O)C2=NC3=C(Cl)C=CC=C3C=C2)C(C)=C1,11227896,2.91
CS(=O)(=O)N1CCC(OC2=CC=CC=C2C(=O)NCC2(O)CCCCC2)CC1,11992075,1.71
CN(C)S(=O)(=O)N1CCCC(C2=NN=C(CN3CCCCC3)N2C)C1,12001476,-0.23
CCC1=CC=CC(C)=C1NC(=O)CCN(C)CCC1CCCCO1,13398633,2.6
CC1=CC=CC2=C1N=C(C1CCN(C(=O)CCN3N=CC=C3C)CC1)N2,13440294,2.7
COC(=O)C1=C(Cl)C=C(NC(=O)NCC2(O)CCCCC2)C=C1,13896468,3.34
CCN1C=C(S(=O)(=O)N2CC3C4CCC(CC4)C3C2)C=N1,15187260,2.63
CC1=NC=NC(N2CCN(C(=O)NCC3=NOC(C(C)C)=N3)CC2)=C1C,15356869,0.74
CCOC1=C(CN2CCC(O)(CN3CCCCC3)C2)C=CC=C1,22707668,2.89
CC(C)CC1=NOC(C2=CN=C(C3=CC(O)=CC=C3)C=C2)=N1,22987934,3.34
COC1=CC=C(C2=NOC(CN(C)CCCN3CCOCC3)=N2)C=C1,24854687,2.1
COC1=C(CN(CC2=CC=NC=C2)C2CC2)C=C2OCCCOC2=C1,25823151,2.63
COC1=C(N2CCN(C3CCCN(S(=O)(=O)C4=CC=C(C)C=C4)C3)CC2)C=CC=C1,26316018,3.67
CCS(=O)(=O)N1CCN(C(=O)C2CCCN(CC3=CC=CO3)C2)CC1,27256807,2.02
CC1=C(C2CCN(C(=O)CN3N=NC4=C(C=CC=C4)C3=O)CC2O)SC=C1,27728093,2.27
CN1CCC2CN(C(=O)C3=CC=C(C4=NOC(C5CC5)=N4)C=C3)CC21,28494294,1.31
CN(C)C1=NSC(NC2CC(C3=CC(=O)NC(C4CC4)=N3)C2)=N1,30135262,0.23
COC1=C(CN(C)C2=NC(N)=NC(C3CC(N)C3)=C2)C=C(Cl)C=C1,30212036,2.55
CC1=NC2=C(Cl)C=CC=C2C(C(=O)N2CCCC3(CC2)CNC(=O)O3)=C1,30752082,1.64
CN(CCCC1=NC=CN1C)C1=NN=C(C(C)(C)C)O1,30774524,0.96
CC1=NN=C2C=CC=C(NC(=O)NCCN3CCC(C4=CC=CC=C4)C3)C2=C1,33305188,2.48
OC(COC1=CC=CC=C1C1=CC=NC=C1)CN1CCCCC1,33774628,2.47
CC(C)C1CN(C)CCN1CC1=CN(CCC(=O)O)N=C1,34406958,0.05
CC1=NC(=O)C(C(=O)NCC2=NN3CCCN(CC(C)C)CC3=C2)=CN1,34619802,-0.68
FC1=CC=C(CN2N=C(CN3C=NC=N3)N=C2CCN2C=NN=N2)C=C1,35657370,0.03
CC1=NC2=C(C=C(C(=O)N3CCOCC(CO)C3)C=C2)O1,36756807,-1.03
CC1=CC=C(C2=CNN=C2C2CCCN(CC(C)C)C2)C=C1,38903283,4.35
CC1=NON=C1CN(C)CC1=C(C)N(C)N=C1C,43130490,0.7
CCC1=NC=CN1CCC(=O)N1CCC2(OC)CCC(NC(C)=O)CC12,44292558,-0.48
O=C(CCC1=C2CCCCC2=NN1)NCC1=CC2=C(C=C1)OCO2,48676063,1.59
O=C(C1=COC2=C1C=CC=C2)N(CC1=CC=CC=C1)C1CCS(=O)(=O)C1,49224893,1.62
O=C(CN1CCOC2=C(C=CC=C2)C1)N1CCCC(CNS(=O)(=O)C2=CC=CS2)C1,51713022,2.51
CC1=C(CC2(NS(=O)(=O)C3=CN(C)N=C3)CC2)C=CC=C1,54003573,2.23
CCC1=NN(C)C(Cl)=C1CN1CC(C2=NC=CC=C2)C1,55678682,1.61
COC1=C(C2=CC=C(C(=O)N3CCC4(CC3)CC(=O)N(C)C4)C=C2)C=CC=C1,56589013,1.72
CCC(NC(=O)C1=NOC(COC2=CC=CC3=CN=CC=C23)=C1)C1=CC=C(F)C=C1,60564743,4.34
CCN1C=NN=C1C(C)NC1=CC(C2=CC=CC=C2)=NC2=CC=NN12,65714673,2.24
CCN1C(C)=CC=C(C(=O)NCCCC2=C(C)N=CS2)C1=O,66244095,1.01
O=C(NCCN1CCCC1)C1=CC=CC(S(=O)(=O)NCC2=NOC=C2)=C1,66607042,-0.04
CCOCCOC1=C(C(=O)NC(C)C2=NNC(C)=N2)C=CC=C1,66722157,0.67
CC1=C(NC(=O)N2CC(N3CCCCC3C)C2)C=CC=C1N1CCCC1,68013615,3.22
CCC1=CN=C(C)N=C1N1CCC(NS(C)(=O)=O)CC1,68253466,1.12
CC(C)(C)C1=CN(C2CCN(C(=O)C3CCCCCC3)CC2)N=N1,69769813,2.31
CCC1=CC=C(C(=O)N2CCC3(CCC(=O)N(CC4=NC=C(C)N=C4)C3)CC2)N1,71886891,-0.6
CC(=O)NCC1=NN2CCN(CC3=NC(C)=C(C)S3)CC2=C1,78885031,0.47
CC1=NN=C(CCNC(=O)C2=CC=C(C3=NNC=C3)C=C2)S1,80357219,0.88
CC(C)N1CCCC(C(=O)NC(C)(C)C2=NN=C(N)S2)C1,80632107,0.93
O=C(NCC1=CC=CC=C1N1C=NC=N1)C1CCC2=CC=CC=C2O1,84245279,1.94
COCCC1=NOC(C2CCCN(CC3=CSC(C(C)=O)=C3)C2)=N1,84780306,0.94
NCCN1C=C(C(=O)N2CCCCCCC2)N=N1,87268653,-0.61
O=C(NC1=CC=C(N2C=CC=N2)C=C1)C1CCCN1C(=O)CCC1=CC=CO1,87442373,2.6
CN(CC1=CC(C2=CC=NC=C2)=NO1)C(=O)NC1CCCN(C2CCCC2)C1,89968080,1.47
CCC1=C(C)C(NCCCN2C=NN=C2)=NC(N)=N1,89996867,1.36
CCN1C=CN=C1CNC(=O)C1(N2CC(C)OC(C)C2)CC2=CC=CC=C2C1,91182649,2.37
NC1=NC(C2CC(N)C2)=CC(N2CCCN(C3=CC=CC=C3)CC2)=N1,93913922,1.37
CCOC(=O)CCNC(=O)N1CCCC(C(=O)C2=CC=C(SC)C=C2)C1,94079060,3.56
CCOC(=O)C1(CCOC)CCN(CC2=C(C)OC(C3=CC=CS3)=N2)CC1,94707538,2.97
CC(C)C1=NC(CN(C)C(=O)C2=C3C=CC=CN3N=C2)=NO1,96540290,0.47
COCC(=O)N1CCC2=C(N=CN2)C12CCN(CC1=CC3=CC=CC=C3O1)CC2,96880790,1.36
CC1=C(CO)C(C(=O)NCCC2=NC3=CC=CC=C3O2)=NO1,97003438,-0.09
COCCNC1=C2CCN(C(=O)C3(COC)CCC3)CCC2=NC=N1,97699310,0.61
CC1=C(CN2CCCCC2C)N=C(C2=CC=CS2)O1,97771358,3.81
